topology_arm,representation_arm,arm_family,n_nodes,n_directed_edges,topology_notes,mean_bounded_differentiated_recovery,sd_bounded_differentiated_recovery,n_runs,n_seed_events,base_topology,perturbation_kind,node_count_n,distance_from_12,signed_distance_from_12,is_odd,edge_count,is_ring_sharing,is_reversed,is_null
c10,c_to_ab_standpoint_only,standpoint_only,10,40,"C10(1,2) topology sweep",-0.005863005410348588,0.002968254751826054,36,132,c10,sweep,10,2,-2,False,40,False,False,False
c11,reverse_only_c_to_ab,reverse_only,11,44,"C11(1,2) topology sweep",-0.008136583783410664,0.003917969232125457,36,132,c11,sweep,11,1,-1,True,44,False,False,False
c11,full_self_consistent_rstar,full_self_consistent,11,44,"C11(1,2) topology sweep",-0.008121255622013596,0.0031903552194464486,36,132,c11,sweep,11,1,-1,True,44,False,False,False
c11,c_to_ab_receiver_only,receiver_only,11,44,"C11(1,2) topology sweep",-0.004375932508316343,0.004853469466830744,36,132,c11,sweep,11,1,-1,True,44,False,False,False
c11,c_to_ab_magnitude_only,magnitude_only,11,44,"C11(1,2) topology sweep",-0.0057913529024118445,0.0029839441865256457,36,132,c11,sweep,11,1,-1,True,44,False,False,False
c11,c_to_ab_standpoint_only,standpoint_only,11,44,"C11(1,2) topology sweep",-0.0057913529024118445,0.0029839441865256457,36,132,c11,sweep,11,1,-1,True,44,False,False,False
c12,reverse_only_c_to_ab,reverse_only,12,48,"C12(1,2) topology sweep",0.03219718918439085,0.0029700394892338946,36,132,c12,sweep,12,0,0,False,48,False,False,False
c12,full_self_consistent_rstar,full_self_consistent,12,48,"C12(1,2) topology sweep",0.027711389617211504,0.004019455194250662,36,132,c12,sweep,12,0,0,False,48,False,False,False
c12,c_to_ab_receiver_only,receiver_only,12,48,"C12(1,2) topology sweep",0.03508349103151967,0.0023531924601059603,36,132,c12,sweep,12,0,0,False,48,False,False,False
c12,c_to_ab_magnitude_only,magnitude_only,12,48,"C12(1,2) topology sweep",0.026176908323013004,0.004143902694994243,36,132,c12,sweep,12,0,0,False,48,False,False,False
c12,c_to_ab_standpoint_only,standpoint_only,12,48,"C12(1,2) topology sweep",0.026176908323013004,0.004143902694994243,36,132,c12,sweep,12,0,0,False,48,False,False,False
c13,reverse_only_c_to_ab,reverse_only,13,52,"C13(1,2) topology sweep",-0.003212918745976132,0.0031972315453896154,36,132,c13,sweep,13,1,1,True,52,False,False,False
c13,full_self_consistent_rstar,full_self_consistent,13,52,"C13(1,2) topology sweep",-0.0005652811855991685,0.002637312628423229,36,132,c13,sweep,13,1,1,True,52,False,False,False
c13,c_to_ab_receiver_only,receiver_only,13,52,"C13(1,2) topology sweep",-0.00623187965802411,0.0022128649509919203,36,132,c13,sweep,13,1,1,True,52,False,False,False
c13,c_to_ab_magnitude_only,magnitude_only,13,52,"C13(1,2) topology sweep",-0.0003860780632995739,0.002276299269849288,36,132,c13,sweep,13,1,1,True,52,False,False,False
c13,c_to_ab_standpoint_only,standpoint_only,13,52,"C13(1,2) topology sweep",-0.0003860780632995739,0.002276299269849288,36,132,c13,sweep,13,1,1,True,52,False,False,False
c14,reverse_only_c_to_ab,reverse_only,14,56,"C14(1,2) topology sweep",-0.0031560696431712763,0.0020193694026831477,36,132,c14,sweep,14,2,2,False,56,False,False,False
c14,full_self_consistent_rstar,full_self_consistent,14,56,"C14(1,2) topology sweep",-0.002498785598919936,0.0023123989261128047,36,132,c14,sweep,14,2,2,False,56,False,False,False
c14,c_to_ab_receiver_only,receiver_only,14,56,"C14(1,2) topology sweep",-0.005020481353255578,0.002693622606435136,36,132,c14,sweep,14,2,2,False,56,False,False,False
c14,c_to_ab_magnitude_only,magnitude_only,14,56,"C14(1,2) topology sweep",-0.001304297210207596,0.0021432767583039326,36,132,c14,sweep,14,2,2,False,56,False,False,False
c14,c_to_ab_standpoint_only,standpoint_only,14,56,"C14(1,2) topology sweep",-0.001304297210207596,0.0021432767583039326,36,132,c14,sweep,14,2,2,False,56,False,False,False
c15,reverse_only_c_to_ab,reverse_only,15,60,"C15(1,2) topology sweep",-0.001847562139046831,0.0022165230193615525,36,132,c15,sweep,15,3,3,True,60,False,False,False
c15,full_self_consistent_rstar,full_self_consistent,15,60,"C15(1,2) topology sweep",-0.0022384960047852343,0.002602135844592748,36,132,c15,sweep,15,3,3,True,60,False,False,False
c15,c_to_ab_receiver_only,receiver_only,15,60,"C15(1,2) topology sweep",-0.0008215313887230039,0.002009202531120953,36,132,c15,sweep,15,3,3,True,60,False,False,False
c15,c_to_ab_magnitude_only,magnitude_only,15,60,"C15(1,2) topology sweep",-0.0013002832445095148,0.002185049594752208,36,132,c15,sweep,15,3,3,True,60,False,False,False
c15,c_to_ab_standpoint_only,standpoint_only,15,60,"C15(1,2) topology sweep",-0.0013002832445095148,0.002185049594752208,36,132,c15,sweep,15,3,3,True,60,False,False,False
c16,reverse_only_c_to_ab,reverse_only,16,64,"C16(1,2) topology sweep",-0.00271715599964862,0.0020164440900538655,36,132,c16,sweep,16,4,4,False,64,False,False,False
c16,full_self_consistent_rstar,full_self_consistent,16,64,"C16(1,2) topology sweep",-0.0018055106262902937,0.002115718023203925,36,132,c16,sweep,16,4,4,False,64,False,False,False
c16,c_to_ab_receiver_only,receiver_only,16,64,"C16(1,2) topology sweep",-0.0014934399417064926,0.0022814448990046954,36,132,c16,sweep,16,4,4,False,64,False,False,False
c16,c_to_ab_magnitude_only,magnitude_only,16,64,"C16(1,2) topology sweep",-0.00037851527840686945,0.001725533203850919,36,132,c16,sweep,16,4,4,False,64,False,False,False
c16,c_to_ab_standpoint_only,standpoint_only,16,64,"C16(1,2) topology sweep",-0.00037851527840686945,0.001725533203850919,36,132,c16,sweep,16,4,4,False,64,False,False,False
c10_reversed,reverse_only_c_to_ab,reverse_only,10,40,"C10(1,2) reversed",-0.00502080756458712,0.0029194705232130167,36,132,c10,reversed,10,2,-2,False,40,False,True,False
c10_reversed,full_self_consistent_rstar,full_self_consistent,10,40,"C10(1,2) reversed",-0.005182612906246788,0.00317710973704475,36,132,c10,reversed,10,2,-2,False,40,False,True,False
c10_reversed,c_to_ab_receiver_only,receiver_only,10,40,"C10(1,2) reversed",-0.003480714547843788,0.0038191878350683863,36,132,c10,reversed,10,2,-2,False,40,False,True,False
c10_reversed,c_to_ab_magnitude_only,magnitude_only,10,40,"C10(1,2) reversed",-0.0064963910083651625,0.0027459463642421746,36,132,c10,reversed,10,2,-2,False,40,False,True,False
c10_reversed,c_to_ab_standpoint_only,standpoint_only,10,40,"C10(1,2) reversed",-0.0064963910083651625,0.0027459463642421746,36,132,c10,reversed,10,2,-2,False,40,False,True,False
c10_side_broken,reverse_only_c_to_ab,reverse_only,10,40,"C10(1,2) degree-matched side-broken",-0.004293484864062846,0.002840175179761198,36,132,c10,side_broken,10,2,-2,False,40,False,False,False
c10_side_broken,full_self_consistent_rstar,full_self_consistent,10,40,"C10(1,2) degree-matched side-broken",-0.00018109414153400007,0.0029966121725253114,36,132,c10,side_broken,10,2,-2,False,40,False,False,False
c10_side_broken,c_to_ab_receiver_only,receiver_only,10,40,"C10(1,2) degree-matched side-broken",-0.00837447766003858,0.0019059794445062958,36,132,c10,side_broken,10,2,-2,False,40,False,False,False
c10_side_broken,c_to_ab_magnitude_only,magnitude_only,10,40,"C10(1,2) degree-matched side-broken",0.001214136508161017,0.002520015925117754,36,132,c10,side_broken,10,2,-2,False,40,False,False,False
c10_side_broken,c_to_ab_standpoint_only,standpoint_only,10,40,"C10(1,2) degree-matched side-broken",0.001214136508161017,0.002520015925117754,36,132,c10,side_broken,10,2,-2,False,40,False,False,False
c10_shuffled,reverse_only_c_to_ab,reverse_only,10,40,"C10(1,2) target-shuffled",-0.004676386067273321,0.002563645052324591,36,132,c10,shuffled,10,2,-2,False,40,False,False,False
c10_shuffled,full_self_consistent_rstar,full_self_consistent,10,40,"C10(1,2) target-shuffled",-0.0044095772959071924,0.003158253496580335,36,132,c10,shuffled,10,2,-2,False,40,False,False,False
c10_shuffled,c_to_ab_receiver_only,receiver_only,10,40,"C10(1,2) target-shuffled",0.00012050780033189322,0.0027895376366845535,36,132,c10,shuffled,10,2,-2,False,40,False,False,False
c10_shuffled,c_to_ab_magnitude_only,magnitude_only,10,40,"C10(1,2) target-shuffled",-0.002988821781163009,0.002479610650873769,36,132,c10,shuffled,10,2,-2,False,40,False,False,False
c10_shuffled,c_to_ab_standpoint_only,standpoint_only,10,40,"C10(1,2) target-shuffled",-0.002988821781163009,0.002479610650873769,36,132,c10,shuffled,10,2,-2,False,40,False,False,False
c10_degree_null,reverse_only_c_to_ab,reverse_only,10,40,"C10(1,2) degree-matched null",-0.001509672065081696,0.003800762937088068,36,132,c10,degree_null,10,2,-2,False,40,False,False,True
c10_degree_null,full_self_consistent_rstar,full_self_consistent,10,40,"C10(1,2) degree-matched null",-0.0067166109488192675,0.0030945024425150956,36,132,c10,degree_null,10,2,-2,False,40,False,False,True
c10_degree_null,c_to_ab_receiver_only,receiver_only,10,40,"C10(1,2) degree-matched null",-0.003558508436456356,0.0034251099462957887,36,132,c10,degree_null,10,2,-2,False,40,False,False,True
c10_degree_null,c_to_ab_magnitude_only,magnitude_only,10,40,"C10(1,2) degree-matched null",-0.0057654046186357945,0.002823493810469623,36,132,c10,degree_null,10,2,-2,False,40,False,False,True
c10_degree_null,c_to_ab_standpoint_only,standpoint_only,10,40,"C10(1,2) degree-matched null",-0.0057654046186357945,0.002823493810469623,36,132,c10,degree_null,10,2,-2,False,40,False,False,True
c10_edge_count_null,reverse_only_c_to_ab,reverse_only,10,40,"C10(1,2) edge-count null",-0.003430086405572465,0.004356042484999208,36,132,c10,edge_count_null,10,2,-2,False,40,False,False,True
c10_edge_count_null,full_self_consistent_rstar,full_self_consistent,10,40,"C10(1,2) edge-count null",-0.0041519190934879175,0.00254678483641619,36,132,c10,edge_count_null,10,2,-2,False,40,False,False,True
c10_edge_count_null,c_to_ab_receiver_only,receiver_only,10,40,"C10(1,2) edge-count null",6.233371583474718e-05,0.0032257842481323473,36,132,c10,edge_count_null,10,2,-2,False,40,False,False,True
c10_edge_count_null,c_to_ab_magnitude_only,magnitude_only,10,40,"C10(1,2) edge-count null",-0.00405359708888536,0.0026085865808572234,36,132,c10,edge_count_null,10,2,-2,False,40,False,False,True
c10_edge_count_null,c_to_ab_standpoint_only,standpoint_only,10,40,"C10(1,2) edge-count null",-0.00405359708888536,0.0026085865808572234,36,132,c10,edge_count_null,10,2,-2,False,40,False,False,True
c10_ring_share_5,reverse_only_c_to_ab,reverse_only,10,50,"C10(1,2) ring-share plus 5",-0.004544404483760051,0.002767314497768089,36,132,c10,ring_share_5,10,2,-2,False,50,True,False,False
c10_ring_share_5,full_self_consistent_rstar,full_self_consistent,10,50,"C10(1,2) ring-share plus 5",-0.0040828525154621665,0.0031154541566721272,36,132,c10,ring_share_5,10,2,-2,False,50,True,False,False
c10_ring_share_5,c_to_ab_receiver_only,receiver_only,10,50,"C10(1,2) ring-share plus 5",-0.003478311891446926,0.0029484508443192023,36,132,c10,ring_share_5,10,2,-2,False,50,True,False,False
c10_ring_share_5,c_to_ab_magnitude_only,magnitude_only,10,50,"C10(1,2) ring-share plus 5",-0.007184376297343465,0.0026695070791481327,36,132,c10,ring_share_5,10,2,-2,False,50,True,False,False
c10_ring_share_5,c_to_ab_standpoint_only,standpoint_only,10,50,"C10(1,2) ring-share plus 5",-0.007184376297343465,0.0026695070791481327,36,132,c10,ring_share_5,10,2,-2,False,50,True,False,False
c10_ring_share_7,reverse_only_c_to_ab,reverse_only,10,60,"C10(1,2) ring-share plus 7",-0.006406201274758907,0.0026655673767468735,36,132,c10,ring_share_7,10,2,-2,False,60,True,False,False
c10_ring_share_7,full_self_consistent_rstar,full_self_consistent,10,60,"C10(1,2) ring-share plus 7",-0.004676783279681941,0.0026394241767550984,36,132,c10,ring_share_7,10,2,-2,False,60,True,False,False
c10_ring_share_7,c_to_ab_receiver_only,receiver_only,10,60,"C10(1,2) ring-share plus 7",-0.0039343058641037425,0.0044533542339668915,36,132,c10,ring_share_7,10,2,-2,False,60,True,False,False
c10_ring_share_7,c_to_ab_magnitude_only,magnitude_only,10,60,"C10(1,2) ring-share plus 7",-0.006401816730461157,0.0019312073043704558,36,132,c10,ring_share_7,10,2,-2,False,60,True,False,False
c10_ring_share_7,c_to_ab_standpoint_only,standpoint_only,10,60,"C10(1,2) ring-share plus 7",-0.006401816730461157,0.0019312073043704558,36,132,c10,ring_share_7,10,2,-2,False,60,True,False,False
c10_ring_share_10,reverse_only_c_to_ab,reverse_only,10,40,"C10(1,2) ring-share plus 10",-0.0049769770616984125,0.0028861135633413016,36,132,c10,ring_share_10,10,2,-2,False,40,True,False,False
c10_ring_share_10,full_self_consistent_rstar,full_self_consistent,10,40,"C10(1,2) ring-share plus 10",-0.004871295936240413,0.003003549671266099,36,132,c10,ring_share_10,10,2,-2,False,40,True,False,False
c10_ring_share_10,c_to_ab_receiver_only,receiver_only,10,40,"C10(1,2) ring-share plus 10",-0.0029836521738644275,0.00426960574513997,36,132,c10,ring_share_10,10,2,-2,False,40,True,False,False
c10_ring_share_10,c_to_ab_magnitude_only,magnitude_only,10,40,"C10(1,2) ring-share plus 10",-0.006158635789239097,0.003224551117475843,36,132,c10,ring_share_10,10,2,-2,False,40,True,False,False
c10_ring_share_10,c_to_ab_standpoint_only,standpoint_only,10,40,"C10(1,2) ring-share plus 10",-0.006158635789239097,0.003224551117475843,36,132,c10,ring_share_10,10,2,-2,False,40,True,False,False
c10_ring_share_11,reverse_only_c_to_ab,reverse_only,10,40,"C10(1,2) ring-share plus 11",-0.004688315180205656,0.002723872543663364,36,132,c10,ring_share_11,10,2,-2,False,40,True,False,False
c10_ring_share_11,full_self_consistent_rstar,full_self_consistent,10,40,"C10(1,2) ring-share plus 11",-0.0040157771876838085,0.0035527130515799637,36,132,c10,ring_share_11,10,2,-2,False,40,True,False,False
c10_ring_share_11,c_to_ab_receiver_only,receiver_only,10,40,"C10(1,2) ring-share plus 11",-0.002776770505259573,0.0029594417023699787,36,132,c10,ring_share_11,10,2,-2,False,40,True,False,False
c10_ring_share_11,c_to_ab_magnitude_only,magnitude_only,10,40,"C10(1,2) ring-share plus 11",-0.007012804206500373,0.002488084583732938,36,132,c10,ring_share_11,10,2,-2,False,40,True,False,False
c10_ring_share_11,c_to_ab_standpoint_only,standpoint_only,10,40,"C10(1,2) ring-share plus 11",-0.007012804206500373,0.002488084583732938,36,132,c10,ring_share_11,10,2,-2,False,40,True,False,False
c12_reversed,reverse_only_c_to_ab,reverse_only,12,48,"C12(1,2) reversed",0.031145023963863896,0.0029160510082873515,36,132,c12,reversed,12,0,0,False,48,False,True,False
c12_reversed,full_self_consistent_rstar,full_self_consistent,12,48,"C12(1,2) reversed",0.027376778779203147,0.004125781723920435,36,132,c12,reversed,12,0,0,False,48,False,True,False
c12_reversed,c_to_ab_receiver_only,receiver_only,12,48,"C12(1,2) reversed",0.03481858218697712,0.0026685046509857487,36,132,c12,reversed,12,0,0,False,48,False,True,False
c12_reversed,c_to_ab_magnitude_only,magnitude_only,12,48,"C12(1,2) reversed",0.025584994468356277,0.003455543954896341,36,132,c12,reversed,12,0,0,False,48,False,True,False
c12_reversed,c_to_ab_standpoint_only,standpoint_only,12,48,"C12(1,2) reversed",0.025584994468356277,0.003455543954896341,36,132,c12,reversed,12,0,0,False,48,False,True,False
c12_side_broken,reverse_only_c_to_ab,reverse_only,12,48,"C12(1,2) degree-matched side-broken",0.0012668234692401474,0.0023988905697641056,36,132,c12,side_broken,12,0,0,False,48,False,False,False
c12_side_broken,full_self_consistent_rstar,full_self_consistent,12,48,"C12(1,2) degree-matched side-broken",0.0049613638555656425,0.0024861789609560685,36,132,c12,side_broken,12,0,0,False,48,False,False,False
c12_side_broken,c_to_ab_receiver_only,receiver_only,12,48,"C12(1,2) degree-matched side-broken",0.0014837373447195753,0.0023127142555022457,36,132,c12,side_broken,12,0,0,False,48,False,False,False
c12_side_broken,c_to_ab_magnitude_only,magnitude_only,12,48,"C12(1,2) degree-matched side-broken",0.004938110524565579,0.0024882460217383866,36,132,c12,side_broken,12,0,0,False,48,False,False,False
c12_side_broken,c_to_ab_standpoint_only,standpoint_only,12,48,"C12(1,2) degree-matched side-broken",0.004938110524565579,0.0024882460217383866,36,132,c12,side_broken,12,0,0,False,48,False,False,False
c12_shuffled,reverse_only_c_to_ab,reverse_only,12,48,"C12(1,2) target-shuffled",0.005395978959062602,0.0016979028452208864,36,132,c12,shuffled,12,0,0,False,48,False,False,False
c12_shuffled,full_self_consistent_rstar,full_self_consistent,12,48,"C12(1,2) target-shuffled",0.0025710364459936796,0.003065675822409922,36,132,c12,shuffled,12,0,0,False,48,False,False,False
c12_shuffled,c_to_ab_receiver_only,receiver_only,12,48,"C12(1,2) target-shuffled",0.012323722388307902,0.002446873814435669,36,132,c12,shuffled,12,0,0,False,48,False,False,False
c12_shuffled,c_to_ab_magnitude_only,magnitude_only,12,48,"C12(1,2) target-shuffled",0.001867123278756145,0.0023723827204872503,36,132,c12,shuffled,12,0,0,False,48,False,False,False
c12_shuffled,c_to_ab_standpoint_only,standpoint_only,12,48,"C12(1,2) target-shuffled",0.001867123278756145,0.0023723827204872503,36,132,c12,shuffled,12,0,0,False,48,False,False,False
c12_degree_null,reverse_only_c_to_ab,reverse_only,12,48,"C12(1,2) degree-matched null",0.003017729098411739,0.0020274889396347685,36,132,c12,degree_null,12,0,0,False,48,False,False,True
c12_degree_null,full_self_consistent_rstar,full_self_consistent,12,48,"C12(1,2) degree-matched null",0.0008811245583526858,0.002624457464197216,36,132,c12,degree_null,12,0,0,False,48,False,False,True
c12_degree_null,c_to_ab_receiver_only,receiver_only,12,48,"C12(1,2) degree-matched null",0.01466793632659719,0.00246578114963482,36,132,c12,degree_null,12,0,0,False,48,False,False,True
c12_degree_null,c_to_ab_magnitude_only,magnitude_only,12,48,"C12(1,2) degree-matched null",0.0016225422697994077,0.002237533724263109,36,132,c12,degree_null,12,0,0,False,48,False,False,True
c12_degree_null,c_to_ab_standpoint_only,standpoint_only,12,48,"C12(1,2) degree-matched null",0.0016225422697994077,0.002237533724263109,36,132,c12,degree_null,12,0,0,False,48,False,False,True
c12_edge_count_null,reverse_only_c_to_ab,reverse_only,12,48,"C12(1,2) edge-count null",0.005577936626712295,0.0022879943011831685,36,132,c12,edge_count_null,12,0,0,False,48,False,False,True
c12_edge_count_null,full_self_consistent_rstar,full_self_consistent,12,48,"C12(1,2) edge-count null",0.00622190210060376,0.003144468459407259,36,132,c12,edge_count_null,12,0,0,False,48,False,False,True
c12_edge_count_null,c_to_ab_receiver_only,receiver_only,12,48,"C12(1,2) edge-count null",0.012504416085203404,0.0020447683096474563,36,132,c12,edge_count_null,12,0,0,False,48,False,False,True
c12_edge_count_null,c_to_ab_magnitude_only,magnitude_only,12,48,"C12(1,2) edge-count null",0.006572960733722488,0.0026827730118035016,36,132,c12,edge_count_null,12,0,0,False,48,False,False,True
c12_edge_count_null,c_to_ab_standpoint_only,standpoint_only,12,48,"C12(1,2) edge-count null",0.006572960733722488,0.0026827730118035016,36,132,c12,edge_count_null,12,0,0,False,48,False,False,True
c12_ring_share_5,reverse_only_c_to_ab,reverse_only,12,72,"C12(1,2) ring-share plus 5",0.0280950950588117,0.0027981215644469607,36,132,c12,ring_share_5,12,0,0,False,72,True,False,False
c12_ring_share_5,full_self_consistent_rstar,full_self_consistent,12,72,"C12(1,2) ring-share plus 5",0.022771096607817853,0.0031520860781190283,36,132,c12,ring_share_5,12,0,0,False,72,True,False,False
c12_ring_share_5,c_to_ab_receiver_only,receiver_only,12,72,"C12(1,2) ring-share plus 5",0.03503281281308579,0.0024572215517536865,36,132,c12,ring_share_5,12,0,0,False,72,True,False,False
c12_ring_share_5,c_to_ab_magnitude_only,magnitude_only,12,72,"C12(1,2) ring-share plus 5",0.022466864369199712,0.0026543913614904104,36,132,c12,ring_share_5,12,0,0,False,72,True,False,False
c12_ring_share_5,c_to_ab_standpoint_only,standpoint_only,12,72,"C12(1,2) ring-share plus 5",0.022466864369199712,0.0026543913614904104,36,132,c12,ring_share_5,12,0,0,False,72,True,False,False
c12_ring_share_7,reverse_only_c_to_ab,reverse_only,12,72,"C12(1,2) ring-share plus 7",0.02743425890482922,0.0034170436748877453,36,132,c12,ring_share_7,12,0,0,False,72,True,False,False
c12_ring_share_7,full_self_consistent_rstar,full_self_consistent,12,72,"C12(1,2) ring-share plus 7",0.022383065952577462,0.0035074048952877315,36,132,c12,ring_share_7,12,0,0,False,72,True,False,False
c12_ring_share_7,c_to_ab_receiver_only,receiver_only,12,72,"C12(1,2) ring-share plus 7",0.0350627490476534,0.0027932813176034907,36,132,c12,ring_share_7,12,0,0,False,72,True,False,False
c12_ring_share_7,c_to_ab_magnitude_only,magnitude_only,12,72,"C12(1,2) ring-share plus 7",0.022683492269765265,0.0028598965536748293,36,132,c12,ring_share_7,12,0,0,False,72,True,False,False
c12_ring_share_7,c_to_ab_standpoint_only,standpoint_only,12,72,"C12(1,2) ring-share plus 7",0.022683492269765265,0.0028598965536748293,36,132,c12,ring_share_7,12,0,0,False,72,True,False,False
c12_ring_share_10,reverse_only_c_to_ab,reverse_only,12,48,"C12(1,2) ring-share plus 10",0.031087629816398097,0.0031040646372987772,36,132,c12,ring_share_10,12,0,0,False,48,True,False,False
c12_ring_share_10,full_self_consistent_rstar,full_self_consistent,12,48,"C12(1,2) ring-share plus 10",0.02783947933992412,0.003832936552364594,36,132,c12,ring_share_10,12,0,0,False,48,True,False,False
c12_ring_share_10,c_to_ab_receiver_only,receiver_only,12,48,"C12(1,2) ring-share plus 10",0.03495778499386629,0.0023574621573912444,36,132,c12,ring_share_10,12,0,0,False,48,True,False,False
c12_ring_share_10,c_to_ab_magnitude_only,magnitude_only,12,48,"C12(1,2) ring-share plus 10",0.02620599292521473,0.0034921301279711254,36,132,c12,ring_share_10,12,0,0,False,48,True,False,False
c12_ring_share_10,c_to_ab_standpoint_only,standpoint_only,12,48,"C12(1,2) ring-share plus 10",0.02620599292521473,0.0034921301279711254,36,132,c12,ring_share_10,12,0,0,False,48,True,False,False
c12_ring_share_11,reverse_only_c_to_ab,reverse_only,12,48,"C12(1,2) ring-share plus 11",0.03168470221153005,0.0022733372726165195,36,132,c12,ring_share_11,12,0,0,False,48,True,False,False
c12_ring_share_11,full_self_consistent_rstar,full_self_consistent,12,48,"C12(1,2) ring-share plus 11",0.028074345004856324,0.0034624890470499065,36,132,c12,ring_share_11,12,0,0,False,48,True,False,False
c12_ring_share_11,c_to_ab_receiver_only,receiver_only,12,48,"C12(1,2) ring-share plus 11",0.03538482098978861,0.0024864462737362045,36,132,c12,ring_share_11,12,0,0,False,48,True,False,False
c12_ring_share_11,c_to_ab_magnitude_only,magnitude_only,12,48,"C12(1,2) ring-share plus 11",0.026436193534137474,0.003915981497493127,36,132,c12,ring_share_11,12,0,0,False,48,True,False,False
c12_ring_share_11,c_to_ab_standpoint_only,standpoint_only,12,48,"C12(1,2) ring-share plus 11",0.026436193534137474,0.003915981497493127,36,132,c12,ring_share_11,12,0,0,False,48,True,False,False
c13_reversed,reverse_only_c_to_ab,reverse_only,13,52,"C13(1,2) reversed",-0.0028181942174037764,0.002401761813024137,36,132,c13,reversed,13,1,1,True,52,False,True,False
c13_reversed,full_self_consistent_rstar,full_self_consistent,13,52,"C13(1,2) reversed",-0.0006753693982239244,0.0019264450641182987,36,132,c13,reversed,13,1,1,True,52,False,True,False
c13_reversed,c_to_ab_receiver_only,receiver_only,13,52,"C13(1,2) reversed",-0.006870556719849674,0.0020624501646979102,36,132,c13,reversed,13,1,1,True,52,False,True,False
c13_reversed,c_to_ab_magnitude_only,magnitude_only,13,52,"C13(1,2) reversed",-0.00046925456910804227,0.0023400197072082655,36,132,c13,reversed,13,1,1,True,52,False,True,False
c13_reversed,c_to_ab_standpoint_only,standpoint_only,13,52,"C13(1,2) reversed",-0.00046925456910804227,0.0023400197072082655,36,132,c13,reversed,13,1,1,True,52,False,True,False
c13_side_broken,reverse_only_c_to_ab,reverse_only,13,52,"C13(1,2) degree-matched side-broken",-0.0005429776216156169,0.002394012148032773,36,132,c13,side_broken,13,1,1,True,52,False,False,False
c13_side_broken,full_self_consistent_rstar,full_self_consistent,13,52,"C13(1,2) degree-matched side-broken",0.0032797814389058846,0.002183772782458345,36,132,c13,side_broken,13,1,1,True,52,False,False,False
c13_side_broken,c_to_ab_receiver_only,receiver_only,13,52,"C13(1,2) degree-matched side-broken",-0.008283063890834892,0.0030407325565651065,36,132,c13,side_broken,13,1,1,True,52,False,False,False
c13_side_broken,c_to_ab_magnitude_only,magnitude_only,13,52,"C13(1,2) degree-matched side-broken",-8.045150057073347e-05,0.0023301381998348854,36,132,c13,side_broken,13,1,1,True,52,False,False,False
c13_side_broken,c_to_ab_standpoint_only,standpoint_only,13,52,"C13(1,2) degree-matched side-broken",-8.045150057073347e-05,0.0023301381998348854,36,132,c13,side_broken,13,1,1,True,52,False,False,False
