topology_arm,comparison,left_arm,right_arm,mean_delta,median_delta,sd_delta,p_left_greater_paired,left_win_fraction,bootstrap_ci_low,bootstrap_ci_high,stable_left_win,stable_right_win
c12_reversed,full_minus_reverse,full_self_consistent_rstar,reverse_only_c_to_ab,-0.0032033413622713073,-0.002599307662337985,0.0024232142733282723,0.9387755102040817,0.0625,-0.0039053382380338387,-0.0025162989959374724,False,True
c12_reversed,reverse_minus_full,reverse_only_c_to_ab,full_self_consistent_rstar,0.0032033413622713073,0.002599307662337985,0.0024232142733282723,0.08163265306122448,0.9375,0.0024811168239492116,0.0038947515037330497,True,False
c12_reversed,magnitude_minus_reverse,c_to_ab_magnitude_only,reverse_only_c_to_ab,-0.005924128672659489,-0.005680707589607618,0.00268442920280872,1.0,0.0,-0.006712374088055865,-0.0051565588865633664,False,True
c12_reversed,receiver_minus_reverse,c_to_ab_receiver_only,reverse_only_c_to_ab,0.0025648959591437477,0.0026800669823786073,0.002723340218285366,0.24489795918367346,0.7708333333333334,0.0017864897077370507,0.0033292693851285464,True,False
c12_reversed,standpoint_minus_reverse,c_to_ab_standpoint_only,reverse_only_c_to_ab,-0.005924128672659489,-0.005680707589607618,0.00268442920280872,1.0,0.0,-0.0066844207567293016,-0.005155231702784975,False,True
c12_side_broken,full_minus_reverse,full_self_consistent_rstar,reverse_only_c_to_ab,-0.002955231804730304,-0.002451616264575456,0.0020964451535341712,0.9795918367346939,0.020833333333333332,-0.0035721399221880436,-0.0023859561913971757,False,True
c12_side_broken,reverse_minus_full,reverse_only_c_to_ab,full_self_consistent_rstar,0.002955231804730304,0.002451616264575456,0.0020964451535341712,0.04081632653061224,0.9791666666666666,0.0023961778578539205,0.0035434700517579664,True,False
c12_side_broken,magnitude_minus_reverse,c_to_ab_magnitude_only,reverse_only_c_to_ab,-0.003596249318827474,-0.003666613090303276,0.002105134130971844,0.9591836734693877,0.041666666666666664,-0.004212406818194021,-0.0030281906082880116,False,True
c12_side_broken,receiver_minus_reverse,c_to_ab_receiver_only,reverse_only_c_to_ab,0.005678390874909997,0.0061982616555695995,0.002766551246456714,0.08163265306122448,0.9375,0.004871214829409182,0.006451778167606045,True,False
c12_side_broken,standpoint_minus_reverse,c_to_ab_standpoint_only,reverse_only_c_to_ab,-0.003596249318827474,-0.003666613090303276,0.002105134130971844,0.9591836734693877,0.041666666666666664,-0.004199787594092075,-0.002980994621451875,False,True
c12_shuffled,full_minus_reverse,full_self_consistent_rstar,reverse_only_c_to_ab,-0.00506645797395915,-0.00508863640782886,0.0025057831909708716,1.0,0.0,-0.0057469829077184025,-0.004375235865054985,False,True
c12_shuffled,reverse_minus_full,reverse_only_c_to_ab,full_self_consistent_rstar,0.00506645797395915,0.00508863640782886,0.0025057831909708716,0.02040816326530612,1.0,0.004396976107578886,0.005769725686057706,True,False
c12_shuffled,magnitude_minus_reverse,c_to_ab_magnitude_only,reverse_only_c_to_ab,-0.005266576141363894,-0.005279617882278388,0.0023514160727668896,1.0,0.0,-0.005936746393748295,-0.004588865216767117,False,True
c12_shuffled,receiver_minus_reverse,c_to_ab_receiver_only,reverse_only_c_to_ab,0.0033254367173060928,0.003673748456672017,0.003135807660016914,0.16326530612244897,0.8541666666666666,0.002413694095290556,0.004206572891901411,True,False
c12_shuffled,standpoint_minus_reverse,c_to_ab_standpoint_only,reverse_only_c_to_ab,-0.005266576141363894,-0.005279617882278388,0.0023514160727668896,1.0,0.0,-0.005939536466168647,-0.004574750629232623,False,True
c10,full_minus_reverse,full_self_consistent_rstar,reverse_only_c_to_ab,0.00020405301011545943,0.0004427750559317773,0.002550555463084669,0.42857142857142855,0.5833333333333334,-0.000509905284132385,0.0009159079663698095,False,False
c10,reverse_minus_full,reverse_only_c_to_ab,full_self_consistent_rstar,-0.00020405301011545943,-0.0004427750559317773,0.002550555463084669,0.5918367346938775,0.4166666666666667,-0.0009177118955746596,0.0005314241396954453,False,False
c10,magnitude_minus_reverse,c_to_ab_magnitude_only,reverse_only_c_to_ab,-0.001471696088796223,-0.0012695938828748926,0.0028079383762123437,0.7551020408163265,0.25,-0.0022867196719276476,-0.0006598471369442257,False,True
c10,receiver_minus_reverse,c_to_ab_receiver_only,reverse_only_c_to_ab,0.0009405204045189147,0.0005787451319727388,0.004069367438543324,0.42857142857142855,0.5833333333333334,-0.00018772169576742462,0.0020829807430273726,False,False
c10,standpoint_minus_reverse,c_to_ab_standpoint_only,reverse_only_c_to_ab,-0.001471696088796223,-0.0012695938828748926,0.0028079383762123437,0.7551020408163265,0.25,-0.0022312972465013767,-0.000672716260709386,False,True
c11,full_minus_reverse,full_self_consistent_rstar,reverse_only_c_to_ab,-0.0011307682444923993,-0.001467445820499954,0.0027909256223871324,0.6938775510204082,0.3125,-0.0019121244134051721,-0.0003351082820214068,False,True
c11,reverse_minus_full,reverse_only_c_to_ab,full_self_consistent_rstar,0.0011307682444923993,0.001467445820499954,0.0027909256223871324,0.32653061224489793,0.6875,0.00033902259085109507,0.0019055845260069365,True,False
c11,magnitude_minus_reverse,c_to_ab_magnitude_only,reverse_only_c_to_ab,0.0012899445201968902,0.0006102093877308379,0.0032375818964350714,0.32653061224489793,0.6875,0.00038442472644161776,0.0021819506882012293,True,False
c11,receiver_minus_reverse,c_to_ab_receiver_only,reverse_only_c_to_ab,0.0037061819729802235,0.0032710978572181772,0.005087813816088568,0.2653061224489796,0.75,0.0022846309157445077,0.005135605484377207,True,False
c11,standpoint_minus_reverse,c_to_ab_standpoint_only,reverse_only_c_to_ab,0.0012899445201968902,0.0006102093877308379,0.0032375818964350714,0.32653061224489793,0.6875,0.0004195926830807103,0.002223818063846224,True,False
c13,full_minus_reverse,full_self_consistent_rstar,reverse_only_c_to_ab,0.002359979046966259,0.0019908955078150915,0.002269375943925506,0.16326530612244897,0.8541666666666666,0.0017127810346297641,0.0030533923224652796,True,False
c13,reverse_minus_full,reverse_only_c_to_ab,full_self_consistent_rstar,-0.002359979046966259,-0.0019908955078150915,0.002269375943925506,0.8571428571428571,0.14583333333333334,-0.0029753098662965126,-0.0017524297824413984,False,True
c13,magnitude_minus_reverse,c_to_ab_magnitude_only,reverse_only_c_to_ab,0.0022376867620662534,0.0026164955719321127,0.002731032051936031,0.22448979591836735,0.7916666666666666,0.0014559659738334447,0.0029779883054893356,True,False
c13,receiver_minus_reverse,c_to_ab_receiver_only,reverse_only_c_to_ab,-0.0035130167295690192,-0.0032371967959740166,0.0027447564508397255,0.8979591836734694,0.10416666666666667,-0.00425138389157731,-0.0027491148394180242,False,True
c13,standpoint_minus_reverse,c_to_ab_standpoint_only,reverse_only_c_to_ab,0.0022376867620662534,0.0026164955719321127,0.002731032051936031,0.22448979591836735,0.7916666666666666,0.0014496965137698963,0.0030097223658518144,True,False
c14,full_minus_reverse,full_self_consistent_rstar,reverse_only_c_to_ab,0.00024676928446109415,0.00036808007734183434,0.0018925481256970957,0.42857142857142855,0.5833333333333334,-0.0002671961984711733,0.0007531700443633128,False,False
c14,reverse_minus_full,reverse_only_c_to_ab,full_self_consistent_rstar,-0.00024676928446109415,-0.00036808007734183434,0.0018925481256970957,0.5918367346938775,0.4166666666666667,-0.0007830709299868395,0.00029823729532557213,False,False
c14,magnitude_minus_reverse,c_to_ab_magnitude_only,reverse_only_c_to_ab,0.0014402264166756152,0.001608985472315895,0.002027072242171255,0.24489795918367346,0.7708333333333334,0.0008743540733330894,0.002029326204996859,True,False
c14,receiver_minus_reverse,c_to_ab_receiver_only,reverse_only_c_to_ab,-0.002209969106241205,-0.002107697384064723,0.0027341903325312452,0.8163265306122449,0.1875,-0.002981593121806571,-0.0014605678604748557,False,True
c14,standpoint_minus_reverse,c_to_ab_standpoint_only,reverse_only_c_to_ab,0.0014402264166756152,0.001608985472315895,0.002027072242171255,0.24489795918367346,0.7708333333333334,0.0008715723035954535,0.0019972740479173197,True,False
degree_matched_null,full_minus_reverse,full_self_consistent_rstar,reverse_only_c_to_ab,-0.005330224433388546,-0.005888053877109641,0.002392341393236524,1.0,0.0,-0.005992965458524146,-0.004632877406214789,False,True
degree_matched_null,reverse_minus_full,reverse_only_c_to_ab,full_self_consistent_rstar,0.005330224433388546,0.005888053877109641,0.002392341393236524,0.02040816326530612,1.0,0.004657815936975219,0.006006306364877564,True,False
degree_matched_null,magnitude_minus_reverse,c_to_ab_magnitude_only,reverse_only_c_to_ab,-0.0059005331206949145,-0.0062434348560482765,0.002443800977802135,0.9795918367346939,0.020833333333333332,-0.0065873561560589235,-0.00519081327910087,False,True
degree_matched_null,receiver_minus_reverse,c_to_ab_receiver_only,reverse_only_c_to_ab,0.0033670927705795987,0.0028891899927137254,0.0040431367078191775,0.24489795918367346,0.7708333333333334,0.0022648710302027334,0.004479034916303507,True,False
degree_matched_null,standpoint_minus_reverse,c_to_ab_standpoint_only,reverse_only_c_to_ab,-0.0059005331206949145,-0.0062434348560482765,0.002443800977802135,0.9795918367346939,0.020833333333333332,-0.006589528735547828,-0.005180493337170606,False,True
edge_count_matched_null,full_minus_reverse,full_self_consistent_rstar,reverse_only_c_to_ab,0.0003233295186728488,0.0006318226516971812,0.002437874494361552,0.42857142857142855,0.5833333333333334,-0.000400705887583435,0.0009611981272883052,False,False
edge_count_matched_null,reverse_minus_full,reverse_only_c_to_ab,full_self_consistent_rstar,-0.0003233295186728488,-0.0006318226516971812,0.002437874494361552,0.5918367346938775,0.4166666666666667,-0.0010236518234036727,0.0003531787563049624,False,False
edge_count_matched_null,magnitude_minus_reverse,c_to_ab_magnitude_only,reverse_only_c_to_ab,-0.0012618955046925717,-0.0012956530935079266,0.002345362667093911,0.7551020408163265,0.25,-0.0018915470664258869,-0.0005628993680092474,False,True
edge_count_matched_null,receiver_minus_reverse,c_to_ab_receiver_only,reverse_only_c_to_ab,0.004198046922767669,0.0037644998934465686,0.002652803618132583,0.061224489795918366,0.9583333333333334,0.0034765489408812877,0.004940366058923433,True,False
edge_count_matched_null,standpoint_minus_reverse,c_to_ab_standpoint_only,reverse_only_c_to_ab,-0.0012618955046925717,-0.0012956530935079266,0.002345362667093911,0.7551020408163265,0.25,-0.001909714884633702,-0.0005510643915851143,False,True
ring_share_c12_plus_5,full_minus_reverse,full_self_consistent_rstar,reverse_only_c_to_ab,-0.005056587675119591,-0.004281481940025349,0.0031431928966910655,0.9795918367346939,0.020833333333333332,-0.005908312956523267,-0.004213797708114743,False,True
ring_share_c12_plus_5,reverse_minus_full,reverse_only_c_to_ab,full_self_consistent_rstar,0.005056587675119591,0.004281481940025349,0.0031431928966910655,0.04081632653061224,0.9791666666666666,0.004161130135948018,0.006007258908350453,True,False
ring_share_c12_plus_5,magnitude_minus_reverse,c_to_ab_magnitude_only,reverse_only_c_to_ab,-0.005144827015198483,-0.0046446812694554696,0.00281551337185131,0.9591836734693877,0.041666666666666664,-0.005913777461756226,-0.004341860998347232,False,True
ring_share_c12_plus_5,receiver_minus_reverse,c_to_ab_receiver_only,reverse_only_c_to_ab,0.006359698960657517,0.006101902330333175,0.0027920231692468993,0.02040816326530612,1.0,0.005538376024118934,0.0071353541168945505,True,False
ring_share_c12_plus_5,standpoint_minus_reverse,c_to_ab_standpoint_only,reverse_only_c_to_ab,-0.005144827015198483,-0.0046446812694554696,0.00281551337185131,0.9591836734693877,0.041666666666666664,-0.005951275135481518,-0.004388663949484104,False,True
ring_share_c12_plus_7,full_minus_reverse,full_self_consistent_rstar,reverse_only_c_to_ab,-0.004275872748804571,-0.003985885309945966,0.0023529089396835644,0.9795918367346939,0.020833333333333332,-0.004946015081553743,-0.003622057481975907,False,True
ring_share_c12_plus_7,reverse_minus_full,reverse_only_c_to_ab,full_self_consistent_rstar,0.004275872748804571,0.003985885309945966,0.0023529089396835644,0.04081632653061224,0.9791666666666666,0.0035997779645703465,0.004901518062438824,True,False
ring_share_c12_plus_7,magnitude_minus_reverse,c_to_ab_magnitude_only,reverse_only_c_to_ab,-0.004814583267238984,-0.005140526663820876,0.002660709681489448,0.9591836734693877,0.041666666666666664,-0.005544905652934122,-0.004042173468245868,False,True
ring_share_c12_plus_7,receiver_minus_reverse,c_to_ab_receiver_only,reverse_only_c_to_ab,0.007695754870428557,0.007419665875401705,0.003259872811334226,0.02040816326530612,1.0,0.006786256329296817,0.008624780333135197,True,False
ring_share_c12_plus_7,standpoint_minus_reverse,c_to_ab_standpoint_only,reverse_only_c_to_ab,-0.004814583267238984,-0.005140526663820876,0.002660709681489448,0.9591836734693877,0.041666666666666664,-0.005583110965035341,-0.0040166975228348965,False,True
ring_share_c12_plus_10,full_minus_reverse,full_self_consistent_rstar,reverse_only_c_to_ab,-0.003603805276310957,-0.0035633325238746266,0.0026794135915324054,0.8979591836734694,0.10416666666666667,-0.004357088574637972,-0.0028724393516198882,False,True
ring_share_c12_plus_10,reverse_minus_full,reverse_only_c_to_ab,full_self_consistent_rstar,0.003603805276310957,0.0035633325238746266,0.0026794135915324054,0.12244897959183673,0.8958333333333334,0.0028438479402238988,0.004400016815860981,True,False
ring_share_c12_plus_10,magnitude_minus_reverse,c_to_ab_magnitude_only,reverse_only_c_to_ab,-0.005471650475530821,-0.005099692556507877,0.003071489214565851,0.9591836734693877,0.041666666666666664,-0.0063978379283913195,-0.00455616132797964,False,True
ring_share_c12_plus_10,receiver_minus_reverse,c_to_ab_receiver_only,reverse_only_c_to_ab,0.0027859477900605127,0.002923050500416675,0.0035400469104317632,0.2857142857142857,0.7291666666666666,0.0018315621204874409,0.0038036364301250658,True,False
ring_share_c12_plus_10,standpoint_minus_reverse,c_to_ab_standpoint_only,reverse_only_c_to_ab,-0.005471650475530821,-0.005099692556507877,0.003071489214565851,0.9591836734693877,0.041666666666666664,-0.006365992765912455,-0.004597177254936714,False,True
ring_share_c12_plus_11,full_minus_reverse,full_self_consistent_rstar,reverse_only_c_to_ab,-0.0038838017946824428,-0.003881493386389148,0.00281988274260318,0.9183673469387755,0.08333333333333333,-0.004666147048324051,-0.0030582970945234613,False,True
ring_share_c12_plus_11,reverse_minus_full,reverse_only_c_to_ab,full_self_consistent_rstar,0.0038838017946824428,0.003881493386389148,0.00281988274260318,0.10204081632653061,0.9166666666666666,0.0031106519232313523,0.004648782492300211,True,False
ring_share_c12_plus_11,magnitude_minus_reverse,c_to_ab_magnitude_only,reverse_only_c_to_ab,-0.005762346144229845,-0.005547672731744726,0.003123779195258753,0.9591836734693877,0.041666666666666664,-0.00663808180763063,-0.004905187513438273,False,True
ring_share_c12_plus_11,receiver_minus_reverse,c_to_ab_receiver_only,reverse_only_c_to_ab,0.0029425219538251096,0.00246460088919858,0.0030809092290677662,0.20408163265306123,0.8125,0.0020841737880360712,0.0038196635486365204,True,False
ring_share_c12_plus_11,standpoint_minus_reverse,c_to_ab_standpoint_only,reverse_only_c_to_ab,-0.005762346144229845,-0.005547672731744726,0.003123779195258753,0.9591836734693877,0.041666666666666664,-0.006689153720334864,-0.004857627291698829,False,True
