topology_arm,representation_arm,arm_family,n_nodes,n_directed_edges,topology_notes,mean_bounded_differentiated_recovery,sd_bounded_differentiated_recovery,n_runs,n_seed_events
c13,c_to_ab_receiver_only,receiver_only,13,52,"C13(1,2) neighbouring-cycle control",-0.006534331144425128,0.0022262644541959542,48,132
c13,c_to_ab_standpoint_only,standpoint_only,13,52,"C13(1,2) neighbouring-cycle control",-0.0007836276527898555,0.002126388585262028,48,132
c13,c_to_ab_magnitude_only,magnitude_only,13,52,"C13(1,2) neighbouring-cycle control",-0.0007836276527898555,0.002126388585262028,48,132
c14,reverse_only_c_to_ab,reverse_only_c_to_ab,14,56,"C14(1,2) neighbouring-cycle control",-0.0030689059053657605,0.0025401547928707805,48,132
c14,full_self_consistent_rstar,full_self_consistent_rstar,14,56,"C14(1,2) neighbouring-cycle control",-0.002822136620904667,0.002415671273104208,48,132
c14,c_to_ab_receiver_only,receiver_only,14,56,"C14(1,2) neighbouring-cycle control",-0.005278875011606965,0.001858731888301863,48,132
c14,c_to_ab_standpoint_only,standpoint_only,14,56,"C14(1,2) neighbouring-cycle control",-0.0016286794886901457,0.0022293690381993535,48,132
c14,c_to_ab_magnitude_only,magnitude_only,14,56,"C14(1,2) neighbouring-cycle control",-0.0016286794886901457,0.0022293690381993535,48,132
degree_matched_null,reverse_only_c_to_ab,reverse_only_c_to_ab,12,48,C12 node/edge-capacity matched null,0.00932340795387059,0.0029347053829203266,48,132
degree_matched_null,full_self_consistent_rstar,full_self_consistent_rstar,12,48,C12 node/edge-capacity matched null,0.003993183520482045,0.0025679564189650924,48,132
degree_matched_null,c_to_ab_receiver_only,receiver_only,12,48,C12 node/edge-capacity matched null,0.012690500724450193,0.0030299819536993397,48,132
degree_matched_null,c_to_ab_standpoint_only,standpoint_only,12,48,C12 node/edge-capacity matched null,0.0034228748331756767,0.002746426537755838,48,132
degree_matched_null,c_to_ab_magnitude_only,magnitude_only,12,48,C12 node/edge-capacity matched null,0.0034228748331756767,0.002746426537755838,48,132
edge_count_matched_null,reverse_only_c_to_ab,reverse_only_c_to_ab,12,48,C12 edge-count matched random directed null,0.004579907325552049,0.0023217258577620525,48,132
edge_count_matched_null,full_self_consistent_rstar,full_self_consistent_rstar,12,48,C12 edge-count matched random directed null,0.004903236844224898,0.002329232334284438,48,132
edge_count_matched_null,c_to_ab_receiver_only,receiver_only,12,48,C12 edge-count matched random directed null,0.008777954248319718,0.002571941617087388,48,132
edge_count_matched_null,c_to_ab_standpoint_only,standpoint_only,12,48,C12 edge-count matched random directed null,0.003318011820859478,0.0018105323386999924,48,132
edge_count_matched_null,c_to_ab_magnitude_only,magnitude_only,12,48,C12 edge-count matched random directed null,0.003318011820859478,0.0018105323386999924,48,132
ring_share_c12_plus_5,reverse_only_c_to_ab,reverse_only_c_to_ab,12,72,"C12(1,2) with shared 5-ring proxy edges",0.0287002669398909,0.0025678275881785883,48,132
ring_share_c12_plus_5,full_self_consistent_rstar,full_self_consistent_rstar,12,72,"C12(1,2) with shared 5-ring proxy edges",0.023643679264771306,0.003581127693487688,48,132
ring_share_c12_plus_5,c_to_ab_receiver_only,receiver_only,12,72,"C12(1,2) with shared 5-ring proxy edges",0.03505996590054841,0.0021665505193887665,48,132
ring_share_c12_plus_5,c_to_ab_standpoint_only,standpoint_only,12,72,"C12(1,2) with shared 5-ring proxy edges",0.023555439924692417,0.002760334359159055,48,132
ring_share_c12_plus_5,c_to_ab_magnitude_only,magnitude_only,12,72,"C12(1,2) with shared 5-ring proxy edges",0.023555439924692417,0.002760334359159055,48,132
ring_share_c12_plus_7,reverse_only_c_to_ab,reverse_only_c_to_ab,12,72,"C12(1,2) with shared 7 mod 12 proxy edges",0.027523954465638854,0.0026674544527713726,48,132
ring_share_c12_plus_7,full_self_consistent_rstar,full_self_consistent_rstar,12,72,"C12(1,2) with shared 7 mod 12 proxy edges",0.023248081716834287,0.003218730710753115,48,132
ring_share_c12_plus_7,c_to_ab_receiver_only,receiver_only,12,72,"C12(1,2) with shared 7 mod 12 proxy edges",0.03521970933606741,0.0027044524195041727,48,132
ring_share_c12_plus_7,c_to_ab_standpoint_only,standpoint_only,12,72,"C12(1,2) with shared 7 mod 12 proxy edges",0.022709371198399872,0.00276895670725375,48,132
ring_share_c12_plus_7,c_to_ab_magnitude_only,magnitude_only,12,72,"C12(1,2) with shared 7 mod 12 proxy edges",0.022709371198399872,0.00276895670725375,48,132
ring_share_c12_plus_10,reverse_only_c_to_ab,reverse_only_c_to_ab,12,48,"C12(1,2) with shared 10-ring proxy edges",0.03198528496391132,0.0031172923228566874,48,132
ring_share_c12_plus_10,full_self_consistent_rstar,full_self_consistent_rstar,12,48,"C12(1,2) with shared 10-ring proxy edges",0.028381479687600363,0.0037635432965777904,48,132
ring_share_c12_plus_10,c_to_ab_receiver_only,receiver_only,12,48,"C12(1,2) with shared 10-ring proxy edges",0.034771232753971835,0.002691443214290186,48,132
ring_share_c12_plus_10,c_to_ab_standpoint_only,standpoint_only,12,48,"C12(1,2) with shared 10-ring proxy edges",0.0265136344883805,0.003457190253814338,48,132
ring_share_c12_plus_10,c_to_ab_magnitude_only,magnitude_only,12,48,"C12(1,2) with shared 10-ring proxy edges",0.0265136344883805,0.003457190253814338,48,132
ring_share_c12_plus_11,reverse_only_c_to_ab,reverse_only_c_to_ab,12,48,"C12(1,2) with shared 11 mod 12 reflective proxy edges",0.031875593494245714,0.002942201937119361,48,132
ring_share_c12_plus_11,full_self_consistent_rstar,full_self_consistent_rstar,12,48,"C12(1,2) with shared 11 mod 12 reflective proxy edges",0.027991791699563274,0.0037431512377593536,48,132
ring_share_c12_plus_11,c_to_ab_receiver_only,receiver_only,12,48,"C12(1,2) with shared 11 mod 12 reflective proxy edges",0.03481811544807082,0.0021857487978621257,48,132
ring_share_c12_plus_11,c_to_ab_standpoint_only,standpoint_only,12,48,"C12(1,2) with shared 11 mod 12 reflective proxy edges",0.02611324735001587,0.0036424496203473055,48,132
ring_share_c12_plus_11,c_to_ab_magnitude_only,magnitude_only,12,48,"C12(1,2) with shared 11 mod 12 reflective proxy edges",0.02611324735001587,0.0036424496203473055,48,132
