nearest_fraction,c_side_localization,n_hits,families
23/24,five_or_ten_proxy_region,6,diagnostic_fraction_only
23/24,non_target_or_broad,4,diagnostic_fraction_only
23/24,registered_c_side_target,1,diagnostic_fraction_only
23/24,x3_or_7mod12_proxy_region,1,diagnostic_fraction_only
3/13,registered_c_side_target,1,punctured_carrier_projector_rank_candidate
3/14,non_target_or_broad,3,diagnostic_fraction_only|full_carrier_projector_rank_candidate
3/16,non_target_or_broad,3,diagnostic_fraction_only
3/17,non_target_or_broad,3,diagnostic_fraction_only
3/19,registered_c_side_target,3,diagnostic_fraction_only
3/19,non_target_or_broad,1,diagnostic_fraction_only
3/19,x3_or_7mod12_proxy_region,1,diagnostic_fraction_only
3/20,non_target_or_broad,3,diagnostic_fraction_only
3/20,registered_c_side_target,1,diagnostic_fraction_only
3/22,registered_c_side_target,4,diagnostic_fraction_only
3/22,five_or_ten_proxy_region,2,diagnostic_fraction_only
3/22,non_target_or_broad,1,diagnostic_fraction_only
3/23,registered_c_side_target,4,diagnostic_fraction_only
3/23,five_or_ten_proxy_region,1,diagnostic_fraction_only
3/23,non_target_or_broad,1,diagnostic_fraction_only
3/4,registered_c_side_target,3,diagnostic_fraction_only|five_or_ten_proxy_fraction_diagnostic|full_carrier_projector_rank_candidate
3/4,five_or_ten_proxy_region,2,five_or_ten_proxy_fraction_diagnostic
3/4,non_target_or_broad,1,diagnostic_fraction_only
3/4,x3_or_7mod12_proxy_region,1,punctured_carrier_projector_rank_candidate
3/5,registered_c_side_target,2,diagnostic_fraction_only
3/5,x3_or_7mod12_proxy_region,1,full_carrier_projector_rank_candidate
4/11,registered_c_side_target,3,punctured_carrier_projector_rank_candidate
4/11,non_target_or_broad,2,diagnostic_fraction_only
4/11,five_or_ten_proxy_region,1,diagnostic_fraction_only
4/15,registered_c_side_target,2,diagnostic_fraction_only
4/17,registered_c_side_target,1,diagnostic_fraction_only
4/19,non_target_or_broad,3,diagnostic_fraction_only
4/21,five_or_ten_proxy_region,3,diagnostic_fraction_only
4/21,non_target_or_broad,3,diagnostic_fraction_only
4/23,non_target_or_broad,6,diagnostic_fraction_only
4/23,registered_c_side_target,5,diagnostic_fraction_only
4/23,x3_or_7mod12_proxy_region,3,diagnostic_fraction_only
4/23,five_or_ten_proxy_region,2,diagnostic_fraction_only
4/5,non_target_or_broad,7,diagnostic_fraction_only|punctured_carrier_projector_rank_candidate
4/5,registered_c_side_target,2,diagnostic_fraction_only
4/5,five_or_ten_proxy_region,1,full_carrier_projector_rank_candidate
4/7,non_target_or_broad,1,full_carrier_projector_rank_candidate
4/9,registered_c_side_target,3,diagnostic_fraction_only|punctured_carrier_projector_rank_candidate
4/9,non_target_or_broad,2,diagnostic_fraction_only
4/9,five_or_ten_proxy_region,1,punctured_carrier_projector_rank_candidate
4/9,x3_or_7mod12_proxy_region,1,diagnostic_fraction_only
5/12,five_or_ten_proxy_region,1,punctured_carrier_projector_rank_candidate
5/12,non_target_or_broad,1,diagnostic_fraction_only
5/12,registered_c_side_target,1,diagnostic_fraction_only
5/14,non_target_or_broad,2,diagnostic_fraction_only
5/17,registered_c_side_target,1,diagnostic_fraction_only
5/18,non_target_or_broad,1,diagnostic_fraction_only
5/18,registered_c_side_target,1,diagnostic_fraction_only
5/19,non_target_or_broad,5,diagnostic_fraction_only
5/21,registered_c_side_target,1,diagnostic_fraction_only
5/22,non_target_or_broad,3,diagnostic_fraction_only
5/22,registered_c_side_target,1,diagnostic_fraction_only
5/23,five_or_ten_proxy_region,2,diagnostic_fraction_only
5/23,non_target_or_broad,1,diagnostic_fraction_only
5/24,non_target_or_broad,1,diagnostic_fraction_only
5/24,registered_c_side_target,1,diagnostic_fraction_only
5/6,non_target_or_broad,4,diagnostic_fraction_only|punctured_carrier_projector_rank_candidate
5/6,registered_c_side_target,3,diagnostic_fraction_only
5/6,five_or_ten_proxy_region,2,diagnostic_fraction_only|punctured_carrier_projector_rank_candidate
5/6,x3_or_7mod12_proxy_region,2,diagnostic_fraction_only|punctured_carrier_projector_rank_candidate
5/7,non_target_or_broad,3,diagnostic_fraction_only|full_carrier_projector_rank_candidate
5/8,non_target_or_broad,1,diagnostic_fraction_only
5/9,registered_c_side_target,4,diagnostic_fraction_only|punctured_carrier_projector_rank_candidate
5/9,five_or_ten_proxy_region,1,punctured_carrier_projector_rank_candidate
5/9,non_target_or_broad,1,diagnostic_fraction_only
5/9,x3_or_7mod12_proxy_region,1,diagnostic_fraction_only
6/13,five_or_ten_proxy_region,1,full_carrier_projector_rank_candidate
6/19,non_target_or_broad,1,diagnostic_fraction_only
6/23,registered_c_side_target,2,diagnostic_fraction_only
6/7,registered_c_side_target,5,full_carrier_projector_rank_candidate
6/7,non_target_or_broad,1,full_carrier_projector_rank_candidate
7/10,registered_c_side_target,1,diagnostic_fraction_only
7/11,non_target_or_broad,5,diagnostic_fraction_only
7/11,registered_c_side_target,3,punctured_carrier_projector_rank_candidate
7/11,five_or_ten_proxy_region,1,diagnostic_fraction_only
7/12,non_target_or_broad,1,diagnostic_fraction_only
7/13,registered_c_side_target,1,diagnostic_fraction_only
7/15,registered_c_side_target,1,diagnostic_fraction_only
7/18,registered_c_side_target,1,diagnostic_fraction_only
7/20,registered_c_side_target,1,diagnostic_fraction_only
7/22,five_or_ten_proxy_region,1,diagnostic_fraction_only
7/23,non_target_or_broad,1,diagnostic_fraction_only
7/24,non_target_or_broad,1,diagnostic_fraction_only
7/8,registered_c_side_target,3,diagnostic_fraction_only
7/8,five_or_ten_proxy_region,2,diagnostic_fraction_only
7/8,non_target_or_broad,2,diagnostic_fraction_only
7/9,five_or_ten_proxy_region,2,diagnostic_fraction_only|punctured_carrier_projector_rank_candidate
7/9,registered_c_side_target,1,diagnostic_fraction_only
8/11,registered_c_side_target,2,punctured_carrier_projector_rank_candidate
8/17,registered_c_side_target,1,diagnostic_fraction_only
8/19,non_target_or_broad,1,diagnostic_fraction_only
8/19,registered_c_side_target,1,diagnostic_fraction_only
8/9,registered_c_side_target,8,diagnostic_fraction_only|punctured_carrier_projector_rank_candidate
8/9,five_or_ten_proxy_region,3,diagnostic_fraction_only|punctured_carrier_projector_rank_candidate
8/9,non_target_or_broad,3,diagnostic_fraction_only
9/10,five_or_ten_proxy_region,3,diagnostic_fraction_only|full_carrier_projector_rank_candidate
9/10,registered_c_side_target,1,diagnostic_fraction_only
9/11,non_target_or_broad,3,diagnostic_fraction_only
9/13,registered_c_side_target,1,diagnostic_fraction_only
9/16,five_or_ten_proxy_region,1,diagnostic_fraction_only
9/16,non_target_or_broad,1,diagnostic_fraction_only
9/17,registered_c_side_target,1,diagnostic_fraction_only
9/19,non_target_or_broad,3,diagnostic_fraction_only
9/19,registered_c_side_target,2,diagnostic_fraction_only
9/19,five_or_ten_proxy_region,1,diagnostic_fraction_only
9/20,non_target_or_broad,1,diagnostic_fraction_only
9/20,x3_or_7mod12_proxy_region,1,diagnostic_fraction_only
9/22,registered_c_side_target,2,diagnostic_fraction_only
9/22,non_target_or_broad,1,diagnostic_fraction_only
