mode,endpoint,path,direction_with_c,arm_type_with_c,pass_count_with_c,core_pass_count_with_c,survives_with_c,fails_with_c,mean_effect_with_c,mean_core_effect_with_c,mean_true_access_effect_with_c,direction_no_c,arm_type_no_c,pass_count_no_c,core_pass_count_no_c,survives_no_c,fails_no_c,mean_effect_no_c,mean_core_effect_no_c,mean_true_access_effect_no_c,c_necessary_pattern,access_effect_gap_with_c_minus_no_c
combined_c_fes_gmr72,z_reward,A_path,A_to_C_to_B,with_c_intersection,4,3,True,False,0.03407220078998384,0.027571517265327816,-0.6927858882126665,A_to_B_no_C,no_c_direct_ab,1,0,False,True,0.0034825897021147274,-0.0013059481053828215,-0.7290410663847228,True,0.028877465370710637
linear_c_state,gmr72_bridge_composite,A_path,A_to_C_to_B,with_c_intersection,5,3,True,False,0.009059501126938152,0.0073625250212171174,-0.26991542250984546,A_to_B_no_C,no_c_direct_ab,0,0,False,True,0.0005793757554984486,-0.000176026698372063,-0.2851699656780228,True,0.007538551719589181
gmr72_phase_conditioned,gmr72_bridge_composite,A_path,A_to_C_to_B,with_c_intersection,5,3,True,False,0.008240703701693542,0.0065138087823600746,-0.2706893417146714,A_to_B_no_C,no_c_direct_ab,0,0,False,True,0.0005793757554984486,-0.000176026698372063,-0.2851699656780228,True,0.006689835480732138
linear_c_state,gmr72_bridge_composite,B_path,B_to_C_to_A,with_c_intersection,5,3,True,False,0.008513461477880882,0.006244915836255072,-0.27062265151803716,B_to_A_no_C,no_c_direct_ab,0,0,False,True,0.0022352058398368998,-0.000176026698372063,-0.2851699656780228,True,0.006420942534627135
gmr72_phase_conditioned,gmr72_bridge_composite,B_path,B_to_C_to_A,with_c_intersection,5,3,True,False,0.007063480485965917,0.004928310012740001,-0.272272695262552,B_to_A_no_C,no_c_direct_ab,0,0,False,True,0.0022352058398368998,-0.000176026698372063,-0.2851699656780228,True,0.005104336711112064
combined_c_fes_gmr72,z_reward,B_path,B_to_C_to_A,with_c_intersection,3,2,False,False,0.024913842657591657,0.026381001890522487,-0.7004897945439573,B_to_A_no_C,no_c_direct_ab,1,0,False,True,0.004360448840639584,-0.0013059481053828215,-0.7290410663847228,False,0.02768694999590531
fes_string_conditioned,rank_reward,B_path,B_to_C_to_A,with_c_intersection,2,0,False,True,0.020054320890887913,0.00930660216619073,-0.709300211120681,B_to_A_no_C,no_c_direct_ab,1,0,False,True,-0.0019183127475109491,-0.0013154531714615711,-0.7243245405813526,False,0.010622055337652302
fes_string_conditioned,rank_reward,A_path,A_to_C_to_B,with_c_intersection,1,0,False,True,0.011925034674714882,0.006444056070190072,-0.7072866127129764,A_to_B_no_C,no_c_direct_ab,1,0,False,True,0.0016450489544063223,-0.0013154531714615711,-0.7243245405813526,False,0.007759509241651643
combined_c_fes_gmr72,gmr72_bridge_composite,A_path,A_to_C_to_B,with_c_intersection,1,1,False,True,0.006586051209596769,0.006702648715476396,-0.27321696314695076,A_to_B_no_C,no_c_direct_ab,0,0,False,True,0.0017840799156287734,-0.000176026698372063,-0.2851699656780228,False,0.00687867541384846
combined_c_fes_gmr72,gmr72_bridge_composite,B_path,B_to_C_to_A,with_c_intersection,0,0,False,True,0.0004483495748428337,0.002523582781399339,-0.27835514177697535,B_to_A_no_C,no_c_direct_ab,0,0,False,True,0.0018078498206432851,-0.000176026698372063,-0.2851699656780228,False,0.002699609479771402
fes_string_conditioned,z_reward,B_path,B_to_C_to_A,with_c_intersection,2,0,False,True,0.01590173928536521,0.0011131367027420042,-0.717073226283539,B_to_A_no_C,no_c_direct_ab,1,0,False,True,-0.0012916192397700779,-0.0013059481053828215,-0.7290410663847228,False,0.002419084808124826
fes_string_conditioned,gmr72_bridge_composite,A_path,A_to_C_to_B,with_c_intersection,2,2,False,False,0.0027858095800802757,0.0021424989485898625,-0.2745255543030141,A_to_B_no_C,no_c_direct_ab,0,0,False,True,0.0002454779988263815,-0.000176026698372063,-0.2851699656780228,False,0.0023185256469619255
fes_string_conditioned,gmr72_bridge_composite,B_path,B_to_C_to_A,with_c_intersection,2,1,False,True,0.004585315951213234,0.0021289644655387383,-0.275393758967806,B_to_A_no_C,no_c_direct_ab,0,0,False,True,0.0006298669868323913,-0.000176026698372063,-0.2851699656780228,False,0.0023049911639108013
fes_string_conditioned,z_reward,A_path,A_to_C_to_B,with_c_intersection,1,0,False,True,0.006459157367199114,-0.0019945573013720208,-0.7160957188629731,A_to_B_no_C,no_c_direct_ab,1,0,False,True,0.0014592501016784602,-0.0013059481053828215,-0.7290410663847228,False,-0.0006886091959891992
