mode,endpoint,path,direction_with_c,arm_type_with_c,pass_count_with_c,core_pass_count_with_c,survives_with_c,fails_with_c,mean_effect_with_c,mean_core_effect_with_c,mean_true_access_effect_with_c,direction_no_c,arm_type_no_c,pass_count_no_c,core_pass_count_no_c,survives_no_c,fails_no_c,mean_effect_no_c,mean_core_effect_no_c,mean_true_access_effect_no_c,c_necessary_pattern,access_effect_gap_with_c_minus_no_c,direction_w,true_c_non_substitutable,mean_effect_true_minus_fake,direction_z,phase_collapse_detected,first_significant_collapse_degrees,narrow_boundary_supported,b71_frozen_b6_supported
combined_c_fes_gmr72,z_reward,A_path,A_to_C_to_B,with_c_intersection,4,3,True,False,0.0340722007899838,0.0275715172653278,-0.6927858882126665,A_to_B_no_C,no_c_direct_ab,1,0,False,True,0.0034825897021147,-0.0013059481053828,-0.7290410663847228,True,0.0288774653707106,A_to_C_to_B,False,0.0072348767243094,A_to_C_to_B,True,22.5,True,False
linear_c_state,gmr72_bridge_composite,A_path,A_to_C_to_B,with_c_intersection,5,3,True,False,0.0090595011269381,0.0073625250212171,-0.2699154225098454,A_to_B_no_C,no_c_direct_ab,0,0,False,True,0.0005793757554984,-0.000176026698372,-0.2851699656780228,True,0.0075385517195891,A_to_C_to_B,True,0.0062383463832846,A_to_C_to_B,True,22.5,True,True
gmr72_phase_conditioned,gmr72_bridge_composite,A_path,A_to_C_to_B,with_c_intersection,5,3,True,False,0.0082407037016935,0.00651380878236,-0.2706893417146714,A_to_B_no_C,no_c_direct_ab,0,0,False,True,0.0005793757554984,-0.000176026698372,-0.2851699656780228,True,0.0066898354807321,A_to_C_to_B,False,0.0047051847385076,A_to_C_to_B,True,22.5,True,False
linear_c_state,gmr72_bridge_composite,B_path,B_to_C_to_A,with_c_intersection,5,3,True,False,0.0085134614778808,0.006244915836255,-0.2706226515180371,B_to_A_no_C,no_c_direct_ab,0,0,False,True,0.0022352058398368,-0.000176026698372,-0.2851699656780228,True,0.0064209425346271,B_to_C_to_A,True,0.0084388628639925,B_to_C_to_A,True,22.5,True,True
gmr72_phase_conditioned,gmr72_bridge_composite,B_path,B_to_C_to_A,with_c_intersection,5,3,True,False,0.0070634804859659,0.00492831001274,-0.272272695262552,B_to_A_no_C,no_c_direct_ab,0,0,False,True,0.0022352058398368,-0.000176026698372,-0.2851699656780228,True,0.005104336711112,B_to_C_to_A,True,0.0062809307925805,B_to_C_to_A,True,22.5,True,True
combined_c_fes_gmr72,z_reward,B_path,B_to_C_to_A,with_c_intersection,3,2,False,False,0.0249138426575916,0.0263810018905224,-0.7004897945439573,B_to_A_no_C,no_c_direct_ab,1,0,False,True,0.0043604488406395,-0.0013059481053828,-0.7290410663847228,False,0.0276869499959053,B_to_C_to_A,False,0.0123433308457103,B_to_C_to_A,False,,False,False
fes_string_conditioned,rank_reward,B_path,B_to_C_to_A,with_c_intersection,2,0,False,True,0.0200543208908879,0.0093066021661907,-0.709300211120681,B_to_A_no_C,no_c_direct_ab,1,0,False,True,-0.0019183127475109,-0.0013154531714615,-0.7243245405813526,False,0.0106220553376523,B_to_C_to_A,False,0.0053084457083818,B_to_C_to_A,False,,False,False
fes_string_conditioned,rank_reward,A_path,A_to_C_to_B,with_c_intersection,1,0,False,True,0.0119250346747148,0.00644405607019,-0.7072866127129764,A_to_B_no_C,no_c_direct_ab,1,0,False,True,0.0016450489544063,-0.0013154531714615,-0.7243245405813526,False,0.0077595092416516,A_to_C_to_B,False,0.0098603078325291,A_to_C_to_B,False,,False,False
combined_c_fes_gmr72,gmr72_bridge_composite,A_path,A_to_C_to_B,with_c_intersection,1,1,False,True,0.0065860512095967,0.0067026487154763,-0.2732169631469507,A_to_B_no_C,no_c_direct_ab,0,0,False,True,0.0017840799156287,-0.000176026698372,-0.2851699656780228,False,0.0068786754138484,A_to_C_to_B,False,0.0005921127999546,A_to_C_to_B,False,,False,False
combined_c_fes_gmr72,gmr72_bridge_composite,B_path,B_to_C_to_A,with_c_intersection,0,0,False,True,0.0004483495748428,0.0025235827813993,-0.2783551417769753,B_to_A_no_C,no_c_direct_ab,0,0,False,True,0.0018078498206432,-0.000176026698372,-0.2851699656780228,False,0.0026996094797714,B_to_C_to_A,False,0.0016623611220053,B_to_C_to_A,False,,False,False
fes_string_conditioned,z_reward,B_path,B_to_C_to_A,with_c_intersection,2,0,False,True,0.0159017392853652,0.001113136702742,-0.717073226283539,B_to_A_no_C,no_c_direct_ab,1,0,False,True,-0.00129161923977,-0.0013059481053828,-0.7290410663847228,False,0.0024190848081248,B_to_C_to_A,False,0.0013716824510713,B_to_C_to_A,False,,False,False
fes_string_conditioned,gmr72_bridge_composite,A_path,A_to_C_to_B,with_c_intersection,2,2,False,False,0.0027858095800802,0.0021424989485898,-0.2745255543030141,A_to_B_no_C,no_c_direct_ab,0,0,False,True,0.0002454779988263,-0.000176026698372,-0.2851699656780228,False,0.0023185256469619,A_to_C_to_B,False,0.0008996910055599,A_to_C_to_B,False,,False,False
fes_string_conditioned,gmr72_bridge_composite,B_path,B_to_C_to_A,with_c_intersection,2,1,False,True,0.0045853159512132,0.0021289644655387,-0.275393758967806,B_to_A_no_C,no_c_direct_ab,0,0,False,True,0.0006298669868323,-0.000176026698372,-0.2851699656780228,False,0.0023049911639108,B_to_C_to_A,False,0.001063057358188,B_to_C_to_A,False,,False,False
fes_string_conditioned,z_reward,A_path,A_to_C_to_B,with_c_intersection,1,0,False,True,0.0064591573671991,-0.001994557301372,-0.7160957188629731,A_to_B_no_C,no_c_direct_ab,1,0,False,True,0.0014592501016784,-0.0013059481053828,-0.7290410663847228,False,-0.0006886091959891,A_to_C_to_B,False,0.0006704154636776,A_to_C_to_B,False,,False,False
