mode,endpoint,direction,frozen_b6_supported,joint_o1o2_boundary,boundary_classification,c_beats_o1_lag0_only,effect_o1_lag0_only,c_beats_o2_lag5_only,effect_o2_lag5_only,c_beats_o1_o2_joint,effect_o1_o2_joint,c_beats_phase_removed_o1o2,effect_phase_removed_o1o2,c_beats_tfc_removed_o1o2,effect_tfc_removed_o1o2,c_beats_side_shuffled_o1o2,effect_side_shuffled_o1o2,c_beats_memory_only_o1o2,effect_memory_only_o1o2,c_beats_residual_endpoint_o1o2,effect_residual_endpoint_o1o2
gmr72_phase_conditioned,gmr72_bridge_composite,A_to_C_to_B,False,False,no_frozen_joint_boundary,False,-0.00929257745047283,False,-0.013406141079901566,False,-0.03740363183002798,False,-0.03740363183002798,False,-0.031778093823775715,True,0.02104305171362661,True,0.024937827231995703,False,-0.03597690146359737
gmr72_phase_conditioned,gmr72_bridge_composite,B_to_C_to_A,True,True,pure_ab_operator_proxy;side_directional_proxy;residual_endpoint_proxy,False,-0.0025927992853784975,False,-0.006706362914807244,False,-0.03070385366493364,False,-0.03070385366493364,False,-0.02507831565868139,True,0.027742829878720936,True,0.031637605397090034,False,-0.029277123298503037
fes_string_conditioned,z_reward,A_to_C_to_B,False,False,no_frozen_joint_boundary,False,-0.2047511150341162,False,-0.22292707480163032,False,-0.33540077284001035,False,-0.33540077284001035,False,-0.32496966319540926,False,0.012205154440926316,False,0.037795345612114714,False,-0.33369388184248355
fes_string_conditioned,z_reward,B_to_C_to_A,False,False,no_frozen_joint_boundary,False,-0.19389418068563244,False,-0.21207014045314654,False,-0.32454383849152657,False,-0.32454383849152657,False,-0.31411272884692554,False,0.02306208878941007,True,0.04865227996059845,False,-0.32283694749399977
fes_string_conditioned,rank_reward,A_to_C_to_B,False,False,no_frozen_joint_boundary,False,-0.19458679143872887,False,-0.22975855793702274,False,-0.3567933872740003,False,-0.3567933872740003,False,-0.3359028074099691,False,0.029557261416214675,True,0.050304484455303805,False,-0.34977155903167784
fes_string_conditioned,rank_reward,B_to_C_to_A,False,False,no_frozen_joint_boundary,False,-0.18590961433209632,False,-0.2210813808303902,False,-0.3481162101673678,False,-0.3481162101673678,False,-0.3272256303033366,False,0.0382344385228472,True,0.05898166156193632,False,-0.34109438192504526
fes_string_conditioned,gmr72_bridge_composite,A_to_C_to_B,False,False,no_frozen_joint_boundary,False,-0.01511466795380562,False,-0.019228231583234362,False,-0.043225722333360764,False,-0.043225722333360764,False,-0.0376001843271085,False,0.015220961210293819,True,0.01911573672866291,False,-0.04179899196693016
fes_string_conditioned,gmr72_bridge_composite,B_to_C_to_A,False,False,no_frozen_joint_boundary,False,-0.01228602483267831,False,-0.016399588462107054,False,-0.040397079212233455,False,-0.040397079212233455,False,-0.034771541205981187,True,0.01804960433142113,True,0.02194437984979022,False,-0.03897034884580284
combined_c_fes_gmr72,z_reward,A_to_C_to_B,False,False,no_frozen_joint_boundary,False,-0.20157890545755805,False,-0.21975486522507218,False,-0.33222856326345224,False,-0.33222856326345224,False,-0.32179745361885115,False,0.015377364017484414,False,0.040967555188672795,False,-0.3305216722659254
combined_c_fes_gmr72,z_reward,B_to_C_to_A,False,False,no_frozen_joint_boundary,False,-0.21142187424299344,False,-0.22959783401050757,False,-0.34207153204888757,False,-0.34207153204888757,False,-0.33164042240428643,False,0.005534395232049061,False,0.031124586403237463,False,-0.3403646410513608
combined_c_fes_gmr72,rank_reward,A_to_C_to_B,False,False,no_frozen_joint_boundary,False,-0.1952335018920586,False,-0.2304052683903525,False,-0.35744009772733004,False,-0.35744009772733004,False,-0.3365495178632989,False,0.028910550962884942,True,0.04965777400197407,False,-0.35041826948500754
combined_c_fes_gmr72,rank_reward,B_to_C_to_A,False,False,no_frozen_joint_boundary,False,-0.2047652389019064,False,-0.23993700540020024,False,-0.3669718347371778,False,-0.3669718347371778,False,-0.3460812548731467,False,0.019378813953037147,True,0.04012603699212628,False,-0.35995000649485537
combined_c_fes_gmr72,gmr72_bridge_composite,A_to_C_to_B,False,False,no_frozen_joint_boundary,False,-0.01957956603687851,False,-0.023693129666307256,False,-0.047690620416433654,False,-0.047690620416433654,False,-0.0420650824101814,False,0.010756063127220923,False,0.014650838645590015,False,-0.04626389005000305
combined_c_fes_gmr72,gmr72_bridge_composite,B_to_C_to_A,False,False,no_frozen_joint_boundary,False,-0.020813043950160634,False,-0.02492660757958937,False,-0.04892409832971578,False,-0.04892409832971578,False,-0.04329856032346352,False,0.009522585213938804,False,0.013417360732307896,False,-0.04749736796328517
