mode,endpoint,direction,minimum_success,strong_success,mean_access_readout,mean_intersection_access_effect,mean_opposite_access_effect,mean_own_access_effect,n_events,effect_vs_random,p_vs_random,effect_vs_balanced,p_vs_balanced,effect_vs_shuffled_c,p_vs_shuffled_c,effect_vs_performance,p_vs_performance,effect_vs_phase_rotated,p_vs_phase_rotated
gmr72_phase_conditioned,z_reward,A_to_C_to_B,True,True,0.05587104120400684,-0.6740534344851927,-0.0048968567148829625,0.007099732106235614,502,0.058765483574814266,0.0009998000399920016,0.04002697844210041,0.0001999600079984003,0.05566174368351113,0.0001999600079984003,0.06130700021272372,0.0001999600079984003,0.041415240546452244,0.003599280143971206
linear_c_state,z_reward,A_to_C_to_B,True,True,0.05564974190538355,-0.6742747337838161,-0.002350580126828983,0.010252586938480412,502,0.05854418427619096,0.0009998000399920016,0.0398056791434771,0.0001999600079984003,0.059470413424191446,0.0001999600079984003,0.061085700914100406,0.0001999600079984003,0.04054263096014129,0.001999600079984003
gmr72_phase_conditioned,gmr72_bridge_composite,A_to_C_to_B,True,False,0.013822946820651827,-0.27076557057283746,0.002402624608168625,0.0006767288115421996,502,0.014220525526111265,0.01839632073585283,0.006107758333085084,0.0027994401119776045,0.006537580629897759,0.003799240151969606,0.005518990237140656,0.05898820235952809,0.007952442156457861,0.002599480103979204
combined_c_fes_gmr72,gmr72_bridge_composite,A_to_C_to_B,False,False,0.01268904633320681,-0.27189947106028256,0.002669465494112088,0.0009435696974856519,502,0.005972175371433256,0.20475904819036192,0.004973857845640072,0.1209758048390322,0.0049784994658188956,0.2385522895420916,0.004385089749695645,0.22115576884623075,0.009553363163145753,0.028594281143771244
fes_string_conditioned,gmr72_bridge_composite,A_to_C_to_B,False,False,0.010627883977362742,-0.27396063341612653,-0.0005737979699227234,-0.0022996937665491555,502,0.0022876205610233317,0.3655268946210758,0.0029126954897960057,0.009998000399920015,0.0015457427391288047,0.14597080583883223,0.002323927393851578,0.25874825034993,0.0034163626029270816,0.010997800439912017
fes_string_conditioned,gmr72_bridge_composite,B_to_C_to_A,False,False,0.010195952489870064,-0.27439256490361924,-0.0010818546091058239,0.0006440411875206068,502,0.0028314602131371833,0.32373525294941013,0.0029567505830589095,0.016196760647870425,0.0009282758649688482,0.28854229154169164,0.005743916434613441,0.041391721655668866,0.004226495793520921,0.041591681663667265
combined_c_fes_gmr72,gmr72_bridge_composite,B_to_C_to_A,False,False,0.008928680066057001,-0.2756598373274323,-0.0009555861233429444,0.0007703096732834864,502,-0.0013738782118044295,0.5752849430113978,0.0016894781592458482,0.3197360527894421,0.0033730858277994957,0.29474105178964205,0.00447664401080038,0.17776444711057787,0.010156077174442427,0.02299540091981604
combined_c_fes_gmr72,rank_reward,B_to_C_to_A,False,False,0.04911219082730332,-0.6773435025893484,0.026188650315935157,0.021187133057910073,502,0.020938205711664597,0.1375724855028994,0.040004416277972625,0.0005998800239952009,0.04397063998974546,0.008998200359928014,0.07049868526022654,0.0001999600079984003,0.04898282745207848,0.0005998800239952009
combined_c_fes_gmr72,z_reward,A_to_C_to_B,False,False,0.04463092297942368,-0.6852935527097759,-0.007390088953718582,4.038550725335446e-05,502,0.024483316210477057,0.11457708458308338,0.028786860217517227,0.013397320535892822,0.037966044196819024,0.01839632073585283,0.05006688198814054,0.0011997600479904018,0.020939247965360206,0.07638472305538892
combined_c_fes_gmr72,z_reward,B_to_C_to_A,False,False,0.042897345345306696,-0.6870271303438928,0.002453677189889248,-0.004180862751867825,502,0.011090012588653,0.28574285142971406,0.030890242487157528,0.005398920215956809,0.03486542228700048,0.02519496100779844,0.05846981894777868,0.0003999200159968006,0.03647996294490019,0.007198560287942412
fes_string_conditioned,rank_reward,A_to_C_to_B,False,False,0.02494861566792868,-0.701507077748723,-0.011132573216385215,-0.004137608106630773,502,0.036695222410811836,0.008998200359928014,0.01282543630775633,0.013597280543891222,0.011011583740526654,0.10297940411917617,0.03458489248658689,0.0007998400319936012,0.007904184868076971,0.11377724455108978
fes_string_conditioned,rank_reward,B_to_C_to_A,False,False,0.020898407577332148,-0.7055572858393194,-0.006764073793723963,-0.013317519713048521,502,-0.003832495080332412,0.5884823035392921,0.011790633028001443,0.03719256148770246,0.0010634039014578694,0.4469106178764247,0.042284902010255344,0.0001999600079984003,0.013935543824089113,0.08958208358328335
fes_string_conditioned,z_reward,A_to_C_to_B,False,False,0.018658138981301576,-0.711266336707898,-0.032270417248479615,-0.02175469387079361,502,0.012031302676255285,0.22975404919016196,0.002814076219395136,0.29874025194961007,0.002422517445032047,0.3727254549090182,0.02409409799001844,0.004199160167966407,0.004206511099521369,0.251749650069986
fes_string_conditioned,z_reward,B_to_C_to_A,False,False,0.01745633281101758,-0.7124681428781819,-0.021671678240057828,-0.03044214069855939,502,-0.001465266254412018,0.5416916616676665,0.005449229952868406,0.20375924815036991,-0.006773002840343124,0.7690461907618477,0.033028806413489556,0.0005998800239952009,0.008832762773049207,0.19896020795840832
